pinyin,hanzi,hsk,translation
yú,鱼,2,"fish, CL:條|条,尾[wěi],"
yuán,元,2,"Chinese monetary unit, dollar, primary, first,"
yuǎn,远,2,"far, distant, remote,"
yùn dòng,运动,2,"to move, to exercise, sports, exercise, motion, movement, campaign, CL:場|场[chǎng],"
zài,再,2,"again, once more, re-, second, another, then (after sth, and not until then),"
zǎo shang,早上,2,"early morning, CL:個|个[gè],"
zhāng,张,2,"to open up, to spread, sheet of paper, classifier for flat objects, sheet, classifier for votes,"
zhǎng,长,2,"chief, head, elder, to grow, to develop, to increase, to enhance,"
zhàng fu,丈夫,2,"husband, CL:個|个[gè],"
zhǎo,找,2,"to try to find, to look for, to call on sb, to find, to seek, to return, to give change,"
zhe,着,2,"aspect particle indicating action in progress,"
zhēn,真,2,"really, truly, indeed, real, true, genuine,"
zhèng zài,正在,2,"in the process of (doing something or happening), while (doing),"
zhī dào,知道,2,"to know, to be aware of, also pron. [zhī dao],"
zhǔn bèi,准备,2,"preparation, to prepare, to intend, to be about to, reserve (fund),"
zì xíng chē,自行车,2,"bicycle, bike, CL:輛|辆[liàng],"
zǒu,走,2,"to walk, to go, to run, to move (of vehicle), to visit, to leave, to go away, to die (euph.), from, through, away (in compound verbs, such as 撤走), to change (shape, form, meaning),"
zuì,最,2,"most, the most, -est (superlative suffix),"
zuǒ bian,左边,2,"left, the left side, to the left of,"
ā yí,阿姨,3,"maternal aunt, step-mother, childcare worker, nursemaid, woman of similar age to one's parents (term of address used by child), CL:個|个[gè],"
a,啊,3,"modal particle ending sentence, showing affirmation, approval, or consent,"
ǎi,矮,3,"low, short (in length),"
ài hào,爱好,3,"to like, to take pleasure in, keen on, fond of, interest, hobby, appetite for, CL:個|个[gè],"
ān jìng,安静,3,"quiet, peaceful, calm,"
bǎ,把,3,"to hold, to contain, to grasp, to take hold of, handle, particle marking the following noun as a direct object, classifier for objects with handle, classifier for small objects: handful,"
bān,搬,3,"to move, to shift, to remove, to transport, to apply indiscriminately, to copy mechanically,"
bān,班,3,"team, class, squad, work shift, ranking, CL:個|个[gè], classifier for groups,"
bàn,半,3,"half, semi-, incomplete, (after a number) and a half,"
bàn fǎ,办法,3,"means, method, way (of doing sth), CL:條|条,個|个[gè],"
bàn gōng shì,办公室,3,"office, business premises, bureau, CL:間|间[jiān],"
bāng máng,帮忙,3,"to help, to lend a hand, to do a favor, to do a good turn,"
bāo,包,3,"to cover, to wrap, to hold, to include, to take charge of, to contract (to or for), package, wrapper, container, bag, to hold or embrace, bundle, packet, CL:個|个,隻|只[zhī],"
bǎo,饱,3,"to eat till full, satisfied,"
běi fāng,北方,3,"north, the northern part a country, China north of the Yellow River,"
bèi,被,3,"quilt, by, (indicates passive-voice clauses), (literary) to cover, to meet with,"
bí zi,鼻子,3,"nose, CL:個|个,隻|只[zhī],"
bǐ jiào,比较,3,"to compare, to contrast, comparatively, relatively, quite, comparison,"
bǐ sài,比赛,3,"competition (sports etc), match, CL:場|场,次[cì],"
bì xū,必须,3,"to have to, must, compulsory, necessarily,"
