hanzi	freq	pinyin	eng
许	166034	xu3	to allow/to permit/to praise/(surname)
统	165820	tong3	to gather/to unite/to unify/whole
区	164775	ou1/qu1	Ou (surname), area/region/district/small/distinguish
保	164424	bao3	to defend/to protect/to insure or guarantee/to maintain/hold or keep/to guard
至	163582	zhi4	arrive/most/to/until
队	162938	dui4	squadron/team/group
形	162049	xing2	to appear/to look/form/shape
社	159527	she4	society/group
便	159479	bian4/pian2	ordinary/plain/convenient/handy/easy/then/so/thus/to relieve oneself, advantageous/cheap
空	158539	kong1/kong4	air/sky/empty/in vain, emptied/leisure
决	157959	jue2	breach (a dyke)/to decide/to determine
治	156904	zhi4	to rule/to govern/to manage/to control/to harness (a river)/cure/treatment/to heal
展	156759	zhan3	to use/to spread out/to postpone/to unfold
马	155772	ma3	horse/horse chess piece/Surname
科	155750	ke1	branch of study/administrative section/division/field/branch/stage directions/family (taxonomy)/rules/laws/to mete out (punishment)/to levy (taxes, etc.)/to fine somebody
司	155229	si1	company/control
五	154316	wu3	five/5
基	153462	ji1	base/foundation/basic/radical (chem.)
眼	152079	yan3	eye
书	151357	shu1	book/letter
非	149915	fei1	non-/not-/un-
则	149042	ze2	(expresses contrast with a previous sentence or clause)/standard/norm/rule/to imitate/to follow/then/principle
听	148988	ting1/ting4	listen/hear/obey, let/allow
白	148728	bai2	white/snowy/empty/blank/bright/clear/plain/pure/gratuitous
却	148679	que4	but/yet/however/while/to go back/to decline/to retreat/nevertheless
界	148438	jie4	boundary/scope/extent/circles/group/kingdom (taxonomy)
达	147907	da2	attain/pass through/achieve/reach/realize/clear/inform/notify/dignity
光	147639	guang1	light/ray/bright
放	147600	fang4	to release/to free/to let go/to put/to place/to let out
强	146665	qiang2	strength/force/power/powerful/better
即	146459	ji2	namely/right away/to approach/to draw near
像	145291	xiang4	(look) like/similar (to)/appearance/to appear/to seem/image/portrait/resemble/seem
难	144597	nan2/nan4	difficult (to...)/problem/difficulty/difficult/not good, disaster/distress/to scold
且	144597	qie3	further/moreover
权	144506	quan2	authority/power/right
思	144503	si1	to think/to consider
王	143948	wang2	king/Wang (proper name)
象	143453	xiang4	shape/form/appearance/elephant/image under a map (math.)
完	143120	wan2	to finish/to be over/whole/complete/entire
设	142742	she4	to set up/to arrange/to establish/to found/to display
式	142292	shi4	type/form/pattern/style
色	142231	se4/shai3	color/look/appearance, color/dice
路	141812	lu4	(surname)/road/path/way
记	139501	ji4	to remember/to note/mark/sign/to record
南	139078	nan2	south
品	138528	pin3	conduct/grade/thing/product/good
住	138503	zhu4	to live/to dwell/to reside/to stop
告	138285	gao4	to tell/to inform/to say
类	138280	lei4	kind/type/class/category/similar/like/to resemble
求	138216	qiu2	to seek/to look for/to request/to demand/to beseech
据	137990	ju1/ju4	sickness of hand, act in accordance with/seize, according to/to act in accordance with/to depend on/to seize/to occupy
程	136962	cheng2	rule/order/regulations/formula/journey/procedure/sequence/a surname
北	136939	bei3	north
边	136277	bian1	side/edge/margin/border/boundary
死	136194	si3	to die/inpassable/uncrossable/inflexible/rigid
张	136087	zhang1	(a measure word)/(a surname)/open up
该	136053	gai1	that/the above-mentioned/most likely/to deserve/should/ought to/owe
交	135727	jiao1	to deliver/to turn over/to make friends/to intersect (lines)/to pay (money)
规	134528	gui1	compass/rule
万	134220	wan4	Wan (surname)/ten thousand/a great number
取	134102	qu3	to take/to get/to choose/to fetch
拉	134051	la1	to pull/to play (string instruments)/to drag/to draw
格	133986	ge2	frame/rule
望	133145	wang4	hope/expect/to visit/to gaze (into the distance)/look towards/towards
觉	132041	jiao4/jue2	a nap/a sleep, feel/find that/thinking/awake/aware
术	131634	shu4/zhu2	method/technique, Atractylis lancea var. ovata
领	130993	ling3	neck/collar/to lead/to receive
共	128824	gong4	all together/in while/to share/common/general/together
确	128417	que4	authenticated/solid/firm, authenticated/solid/firm/real/true
传	128186	chuan2/zhuan4	to pass on/to spread/to transmit/to infect/to transfer/to circulate/to pass on/to conduct (electricity), biography
师	128086	shi1	a division (milit.)/teacher/master/expert/model
观	127796	guan1/guan4	to look at/to watch/to observe/to behold, Taoist monastery
清	127716	qing1	clear/distinct/complete/pure
今	126624	jin1	today/modern/present/current/this/now
切	126391	qie1/qie4	to cut/to slice, close to
院	126115	yuan4	courtyard/institution
让	125660	rang4	to ask/to let/permit/have (someone do something)/to yield/to allow
识	125220	shi2/zhi4	to know/knowledge, to record/write a footnote
候	124865	hou4	wait
带	124619	dai4	band/belt/girdle/ribbon/area/zone/region/wear/carry/lead/bring/consists of/show/and
导	124463	dao3	to transmit/to lead/to guide/to conduct/to direct
争	124420	zheng1	struggle/fight
运	123903	yun4	to move/to transport/to use/to apply/fortune/luck/fate
笑	122902	xiao4	laugh/smile
飞	122290	fei1	to fly
风	121803	feng1	wind/news/style/custom/manner
步	121267	bu4	a step/a pace/walk/march/stages in a process
改	121023	gai3	to change/to alter/to transform/to correct
收	120897	shou1	to receive/to accept/to collect/in care of (used on address line after name)
根	120778	gen1	radical (chem.)/root/basis
干	120564	gan1/gan4	dry/to concern/shield, to work/to do/to manage, manage/stem
造	120496	zao4	to make/to build/to invent/to manufacture
言	120308	yan2	to speak/to say/talk/word
联	120301	lian2	to ally/to unite/to join
持	119990	chi2	to grasp/to hold/support/manage/direct/maintain
组	119734	zu3	to form/compose/make up/group/to organize/cord
每	119594	mei3	each/every
济	119161	ji4	aid/ferry/frugal
车	118824	che1/ju1	car/a vehicle/machine/to shape with a lathe, vehicle on land
亲	118451	qin1/qing4	dear/intimate/parent/relation/closely related, parents-in-law of one's offspring
极	117736	ji2	extremely/pole (geography, physics)/utmost/top
林	117675	lin2	woods/forest
服	116961	fu2	clothes/dress/garment/submit/take (medicine)
快	116923	kuai4	fast/quick/swift
办	116904	ban4	to do/to manage/to handle/to go about/to run/to set up/to deal with
议	116810	yi4	criticize/discuss
往	116539	wang3/wang4	to go (in a direction)/past/previous/towards, toward/(of a train) bound for
元	116488	yuan2	(dynasty)/dollar/primary/first
英	116193	ying1	(surname)/English/brave
士	115704	shi4	scholar/warrior/knight
证	115610	zheng4	prove, confirm, verify/proof, certificate/proof/to prove/to demonstrate/to confirm/certificate/proof
近	115441	jin4	near/close (to)/approximately
失	115346	shi1	to lose/to miss/to fail
转	115087	zhuan3/zhuan4	to convey/to forward (mail)/to transfer/to turn/to shift, to revolve/to turn/to circle about/to walk about
夫	114784	fu1	porter, husband/man
令	114570	ling4	make or cause to be/order/command/decree/honorable
准	113877	zhun3	to allow/to grant/to permit/accurate/standard, accurate/standard
布	113652	bu4	diffuse/extend/notify, to declare/to announce/to spread/to make known/spread/(cotton) cloth
始	112987	shi3	begin
怎	112294	zen3	how
呢	112185	ne/ni2	(question particle), woolen material
存	110970	cun2	exist/deposit/store/keep/survive
未	110491	wei4	1-3 p.m./8th earthly branch/not yet/did not/have not/not
